fecha|hora|pais|operadora|vuelo_numero|ruta|tipo_aeronave|registro_aeronave|abordo|pasajeros|tripulantes|bajas|bajas_pasajeros|bajas_tripulacion|bajas_tierra|Descripcion|country
1919-07-19|nan|other|US Aerial Mail Service|||De Havilland|82.0|1|0|1|1|0|1|0|The mail plane crashed under unknown circumstances|
1919-08-02|nan|Italy|Caproni Company||Venice  Taliedo|other||14|12|2|14|12|2|0|As the plane was passing over Verona the wings began to flutter and then collapsed and crashed Sources differ as to the number of deaths with some reporting 15 or 17|
1919-10-02|nan|England|Aircraft Transport and Travel|||De Havilland||1|0|1|1|0|1|0||
1919-10-14|nan|other|US Aerial Mail Service|||other|32.0|1|0|1|1|0|1|0|The pilot was performing a mail flight to Baltimore While on final approach in fog the aircraft hit tree tops and crashed into the woods|
1919-10-20|nan|other|Aircraft Transport and Travel|||De Havilland||0|0|1|0|0|0|0|Crashed into the sea while attempting to land in fog|
1919-10-30|nan|other|US Aerial Mail Service|||De Havilland|77.0|1|0|1|1|0|1|0|While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground Eventually he decided to make an emergency landing in Long Valley west of Newark Aircraft hit the ground and crashed|
1919-12-11|nan|other|Aircraft Travel Transport||Paris  Hounslow|De Havilland||1|1|1|1|1|1|0|Crashed in a field while attemptting to land|
1920-03-10|nan|India|US Aerial Mail Service|||De Havilland|65.0|1|0|1|1|0|1|0|While on a a mail flight the aircraft hit trees in fog and crashed in a wooded area|
1920-03-30|nan|other|US Aerial Mail Service||Washington  Newark|De Havilland|72.0|1|0|1|1|0|1|0|George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility|
1920-04-10|nan|other|US Aerial Mail Service|||other|49.0|2|1|1|1|0|1|0|After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed|
1920-04-11|nan|other|US Aerial Mail Service|||other|44.0|2|1|1|1|0|1|0|The aircraft crashed while on approach for unknown reasons|
1920-05-12|nan|other|US Aerial Mail Service|||De Havilland|79.0|2|1|1|1|1|0|0|In worsening weather conditions the pilot lost his sense of orientation and crashed in a field|
1920-06-06|nan|other|US Aerial Mail Service|||De Havilland|204.0|1|0|1|1|0|1|0|The aircraft suffered engine failure and crashed shortly after taking off|
1920-07-20|nan|other|Compaia Colombiana de Navegacin Area|||other||1|1|1|1|1|1|0|Crashed while taking off after engine failure Engine failure due to fuel exhaustion|
1920-08-16|nan|England|By Air|||other||1|0|1|1|0|1|0|The plane crashed during a cargo flight under unknown circumstances|
1920-08-16|nan|other|US Aerial Mail Service|||De Havilland|317.0|1|0|1|1|0|1|0|While approaching in poor visibility to land the plane hit a radio mast and crashed in flames|
1920-09-01|nan|other|US Aerial Mail Service|||Junkers|305.0|2|0|2|2|0|2|0|While en route the mail plane went out of control and crashed after experiencing an in flight fire|
1920-09-15|nan|other|US Aerial Mail Service|||Junkers|308.0|2|||2|||0|The pilot crashed after attempting to make an emergency landing after the engine caught fire|
1920-09-27|nan|other|US Aerial Mail Service|||De Havilland|316.0|1|0|1|1|0|1|0|The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility|
1920-10-02|nan|France|Latecoere Airlines|||other||2|1|1|2|1|1|0|Crashed into the Mediterranean while on a mail flight|
1920-10-05|nan|Spain|Latecoere Airlines|||Breguet Aviation||2|1|1|2|1|1|0|While on a mail flight the plane crashed while attempting to land|
1920-10-15|nan|other|US Aerial Mail Service|||De Havilland|76.0|1|0|1|1|0|1|0|While attempting to land in fog the aircraft hit an obstruction and crashed|
1920-11-07|nan|other|US Aerial Mail Service|||De Havilland||1|0|1|1|0|1|0|The aircraft crashed into a mountain in poor weather condtions|
1920-12-14|12:15|England|Handley Page Transport||London  Paris|Handley Page||8|6|2|4|2|2|0|The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house Pilot error in taking off towards a hill in unfavorable wind conditions and fogThe first commercial air disaster to result in passenger fatalities during a regularly scheduled service|
1920-12-24|nan|Spain|Aeropostale|||Breguet Aviation||1|0|1|1|0|1|0|The aircraft stalled and crashed when an engine failed|
1921-02-03|nan|other|US Aerial Mail Service|||De Havilland|130.0|1|0|1|1|0|1|0|Shortly after takeoff from MinneapolisWorld Chamberlain Field the engine failed The aircraft lost altitude and crashed  in a field|
1921-02-09|nan|other|US Aerial Mail Service|||Junkers|301.0|3|0|3|3|0|3|0|Crashed for unknown reasons Both pilots and the mechanic were killed|
1921-02-15|nan|other|Aeropostale|||Breguet Aviation||2|0|2|2|0|2|0|The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar The bodies of the crew were never recovered|
1921-02-22|nan|other|US Aerial Mail Service|||De Havilland|67.0|1|0|1|1|0|1|0|Shortly after taking off the aircraft stalled and crashed |
1921-04-06|nan|Australia|Military  Royal Australian Air Force|||Avro||2|0|0|2|0|0|0|Shortly after taking off on a training flight the aircraft dove into the ground and exploded in flames|
1921-04-21|nan|other|US Aerial Mail Service|||De Havilland|160.0|1|0|1|1|0|1|0|After taking off the aircraft stalled and crashed|
1921-04-29|nan|other|US Aerial Mail Service|||De Havilland|196.0|1|0|1|1|0|1|0|The aircraft crashed in a field short of the runway a few minutes before its scheduled arrival in Cleveland The weather was poor with fog|
1921-05-17|nan|other|US Aerial Mail Service|||De Havilland|176.0|1|0|1|1|0|1|0|Crashed while attempting to land|
1921-08-14|nan|France|Aeropostale|||Breguet Aviation||2|||2|||0||
1921-08-24|17:40|England|Military  Royal Airship Works|||other||49|0|49|43|0|43|1|Crashed due to structural failure followed by two explosions and a fire Attributed to faulty design This was a test flight before being handed over to the navy Thirtytwo British and 17 Americans were on board and the survivors were 5 British and 1 American  The fatalities included the designer Charles Campbell who had copied a captured German design intended for highaltitude flight therefore the skeleton was a bit weaker than some  The pilot overstressed it by attempting a turn at 62 mph at low altitude|
1921-09-06|nan|France|FrancoRoumaine||Warsaw  Prague  Strasbourg  Paris|other||5|4|1|5|4|1|0|Crashed while making an approach to Le Bourget Airport in Paris Pilot aborted the landing due to another aircraft on the runway|
1921-12-05|nan|Australia|West Australian Airways||Geraldton  Derby|Bristol Aeroplane Company||2|0|2|2|0|2|0|On approach to Geraldton the plane crashed near the Murchinson River Considered the first commercial flight in Australila|
1922-01-14|nan|France|Handley Page Transport|||Handley Page||5|4|1|5|4|1|5|Crashed at Le Bourget field|
1922-02-21|nan|other|Military  US Army Air Service|||other||45|||34|||0|Crashed from a height of 500 ft after experiencing control problems cause by malfunctioning controls|
1922-03-22|11:40|other|Aero Limited||Miami  Bimini|other||6|5|1|5|5|0|0|The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke Only the pilot survived being picked up over 2 days later The flying boat was named Miss Miami|
1922-04-07|13:15|France|Daimler Airways  Grands Express Aeriens||Croydon  Le Bourget|De Havilland||7|5|2|7|5|2|0|A midair collision occurred at 400 ft in poor visibility approximately 18 miles north of Beauvais France The pilots of both planes were using the road as a route marker in bad weather and poor visibility This was the  first commercial midair collision in aviation history Two killed on the de Havilland five on the Faman F60|
1922-04-08|nan|China|||Test|other||17|0|17|17|0|17|0|Aboard were all workers taking part in a flight test All seventeen aboard were Chinese nationals|
1922-06-03|nan|England|Cie des Messageries Aeriennes||Croydon  Paris|other||3|2|1|3|2|1|0|Went down into the English Channel while en route|
1922-07-04|nan|Germany|||Hamburg  Berlin|other||3|2|1|2|1|1|0|The passengermail plane lost its engine while taking off and crashed into trees Actress Fern Andra survived the accident but her director Georg Bluen did not The pilot Lothar von Richthofen was also killed He was a World War I ace and brother of Manfred von Richthofen The Red Baron|
1922-07-16|16:45|France|Compagnie FrancoRoumaine de Navigaation Aerienne||Strasbourg  Paris|other||5|4|1|5|4|1|0|Lost an engine and could not make an emergency landing because of gusty winds Stalled while making a turn and crashed|
1922-07-26|nan|Spain|Grands Express Aeriens|||Breguet Aviation||3|2|1|3|2|1|0|While attempting to make an emergency landing due to engine problems the aircraft hit telephone lines and crashed|
1922-09-07|nan|India|US Aerial Mail Service|||De Havilland|227.0|1|0|1|1|0|1|0|The plane stalled shortly after takeoff and crashed|
1922-10-02|nan|Italy|de Havilland Air Service||Venice  London|De Havilland||4|3|1|4|3|1|0|Shortly after taking off the plane crashed into the sea and sank|
1922-10-25|nan|Morocco|Grands Express Aeriens|||Breguet Aviation||2|1|1|2|1|1|0|Crashed under unknown circumstances|
1922-12-03|nan|Morocco|Grands Express Aeriens||Toulouse  Barcelona  Valencia  Alicante  Malaga  Rabat|Breguet Aviation||1|0|1|1|0|1|0|While flying in foggy conditions the pilot reduced altitude and crashed into a hill|
1923-01-10|nan|France|Amee de lAir|||other||4|2|2|3|1|2|0|The plane crashed midair due to a structural failure of the tail|
1923-01-17|nan|Spain|Grands Express Aeriens|||Breguet Aviation||1|0|1|1|0|1|0|Crashed into a mountain during a snowstorm|
1923-01-18|nan|other|US Aerial Mail Service|||De Havilland|223.0|1|0|1|1|0|1|0|Crashed during a mail flight|
1923-02-26|nan|other|US Aerial Mail Service|||De Havilland|291.0|1|0|1|1|0|1|0|The pilot lost control of the aircraft  while on approach in poor weather conditions|
1923-05-14|13:42|France|Grands Express Aeriens Air Union||Paris  London|other||6|4|2|6|4|2|0|Brokeup in mid air after suffering structural failure at 3000 ft after a onboard fire weakened the planes structure losing a wing Possibly started by a passenger discarding a match after lighting a cigarette|
1923-08-27|17:30|United Kingdom|Air Union||Paris  BercksurMer  Croydon|other||11|9|2|1|1|0|0|The aircraft lost an engine about 45 minutes into the flight As the plane was incapable of maintaining level flight with only one engine operating the pilot decided to make an emergency landing He asked the mechanic to ask two passengers to move towards the rear of the aircraft This instruction was apparently misunderstood by the passengers as four of them moved towards the rear of the aircraft This affected the center of gravity of the aircraft which then entered into a spin and crashed|
1923-08-27|nan|Oman|Campagnie France Roumaine|||other||2|1|1|2|1|1|0|Crashed while on approach to Bucharesst|
1923-09-07|nan|other|US Aerial Mail Service|||De Havilland|283.0|1|0|1|1|0|1|0|Crashed during an emergency landing attempt|
1923-09-14|18:00|England|Daimler Airways||Croydon  Manchester|De Havilland||5|3|2|5|3|2|0|Crashed while attempting a forced landing after encountering heavy rain|
1923-11-18|nan|Russia|CCCP|||Junkers||5|2|3|3|1|2|0|Crashed during a training flight|
1923-12-06|nan|other|US Aerial Mail Service|||De Havilland|318.0|1|0|1|1|0|1|0|Crashed under unknown circumstances|
1923-12-23|02:30|other|Military  French Navy||Toulon  Algiers|other||52|||52|||0|Crashed while on a flight from Toulon France to Algiers Algeria  The last known radio contact reported the ship nearly out of fuel and battling strong winds  Struck by lightning|
1923-12-24|nan|other|US Aerial Mail Service|||De Havilland|315.0|1|0|1|1|0|1|0|Crashed into a montain in poor weather conditions|
1924-03-07|nan|other|US Aerial Mail Service|||De Havilland|327.0|1|0|1|1|0|1|0|Crashed during a snowstorm|
1924-04-24|nan|other|KLM Royal Dutch Airlines||Lympne England  Rotterdam The Netherlands|Fokker||3|2|1|3|2|1|0|The aircraft disappeared over the North Sea The plane and passengers were never found|
1924-06-08|nan|Colombia|SCADTA||Barranquilla  Bogota|Junkers||5|3|2|5|3|2|0|Stalled after taking off and crashed into houses|
1924-08-01|nan|United States|US Aerial Mail Service|||De Havilland|297.0|1|0|1|1|0|1|0|The pliot made a low pass in honor of another pilot who had died stalled and cashed|
1924-11-06|nan|France|Grands Express Aeriens|||Breguet Aviation||1|0|1|1|0|1|0|While en route the pilot encountered thunderstorms lost control and crashed|
1924-12-21|nan|India|US Aerial Mail Service|||De Havilland|311.0|1|0|1|1|0|1|0|Lost in a snowstorm the pilot decided to bail out of the plane but was killed|
1924-12-24|12:00|England|Imperial Airways||London  Paris|De Havilland||8|7|1|8|7|1|0|Shortly after taking off witnesses observed a puff of white smoke after which the plane nosedived into the ground Crashed due to an unknown mechanical failure and subsiquent stall Captain Stewart and seven passengers were killed in an attempted forced landing|
1925-03-22|nan|Georgia|Zakavia||Tiflis  Suchumi|Junkers||5|3|2|5|3|2|0|Shortly after take off the plane went out of control and crashed in flames|United States
1925-04-25|nan|Spain|Grands Express Aeriens||Alicante  Barcelona  Toulouse|Breguet Aviation||3|1|2|3|1|2|0|Shortly after takeoff while flying at a low altitude in poor visibility the aircraft hit a lightning rod stalled and crashed|
1925-06-25|nan|France|KLM Royal Dutch Airlines||Amsterdam  Paris|Fokker||4|3|1|4|3|1|0|While in a turn in bad weather the right wing struck trees and the plane crashed Failure of an aileron in flight|
1925-06-26|nan|Spain|Grands Express Aeriens||Oran  Alicante|other||2|0|2|2|0|2|0|While attempting to land the seaplane hit a lightning mast and crashed|
1925-07-20|nan|Spain|Lignes Aeriennes Latecoere||Toulouse  Barcelona|Breguet Aviation||1|0|1|1|0|1|0|Crashed in unknown circumstance|
1925-07-24|nan|Hungary|CIDNA|||other||1|0|1|1|0|1|0|Crashed while attempting to land 10 km from the airport|
1925-09-03|05:30|other|Military  US Navy||Lakehurst NJ  St Louis MO|other||43|0|43|14|0|14|0|The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions thunderstorms Powerful air currents buffeted her so severely that her crew was unable to maintain control Rising rapidly above her pressure height then falling and rising again her hull structure was overstressed amidships breaking the airship in two Shenandoahs external control car and two engine cars fell free carrying the dirigibles commanding officer and several other men to their deaths The stern section came down nearby while several men were able to fly the bow section to ground as a free balloon The airship was the first one inflated with helium instead of hydrogen which may have saved lives since it did not explode when it came apart The airship was the first one inflated with helium instead of hydrogen which may have saved lives since it did not explode when it came apart|
1925-10-01|nan|other|US Aerial Mail Service||New York  San Francisco|De Havilland|385.0|1|0|1|1|0|1|0|Crashed into a wooded area on Mt Nittany in fog and low visibility|
1925-11-14|nan|Mauritania|Lignes Aeriennes Latecoere|||Breguet Aviation||1|0|1|1|0|1|0|The pilot suffered sunstroke lost control of the plane and crashed|
1925-11-14|nan|France|Air Union|||other||2|||2|||0||
1926-02-12|nan|other|US Aerial Mail Service|||other|602.0|1|0|1|1|0|1|0|While the mail plane was flying at a low altitude the  aircraft hit trees and crashed in a wooded area|
1926-03-08|nan|Germany|Deutche Lufthansa|||Junkers||1|0|1|1|0|1|0|While in a training filight the aircraft stalled and crashed while attempting to land|
1926-05-31|nan|other|Air Union||Paris  Cryodon|Breguet Aviation||1|0|1|1|0|1|0|The mail plane crashed into the English Channel and was never found|
1926-07-03|nan|Slovakia|Compagnie Internationale de Navigation Arienne||Paris  Prague  Budapest|other||6|4|2|6|4|2|0|Crashed while en route into a mountain in adverse weather conditions The pilot was flying at too low of an altitude|
1926-07-09|09:30|Belgium|KLM Royal Dutch Airlines||Amsterdam  Rotterdam  Brussels  Paris|Fokker||2|1|1|2|1|1|0|Crashed into the ground while descending in poor weather|
1926-07-24|nan|Germany|Deutsche Lufthansa|||Junkers||5|4|1|5|4|1|0|Crashed under weather relatedcircumstances|
1926-08-18|nan|England|Air Union||Lebourget France  Croydon England|other||15|13|2|3|2|1|0|The plane made a forced landing at Romney Marsh  in heavy fog  Engine failure The pilot initally survived but died a day later|
1926-09-26|nan|other|||New York  Paris|Sikorsky Aircraft Corporation||5|4|1|2|2|0|0|Too much weight caused the landing gear to collapse as the plane took off for Paris on the first transAtlantic passenger flight|
1926-10-02|15:27|other|Air Union||Paris  London|other||7|5|2|7|5|2|0|After an engine fire the pilot attempts to make an emergency landing at Penshurst Airfield but crashed|
1926-10-08|nan|Germany|Deutsche Lufthansa|||Fokker||4|3|1|4|3|1|0|Weather related|
1926-10-21|13:15|other|Imperial Airways||Croydon  Paris|Handley Page||12|10|2|0|0|0|0|The plane was on a flight from London to Paris when power was lost to the starboard engine The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast The plane stayed afloat long enough for the fishing boat Invicta piloted by Captain Marshall to rescue all aboard The plane was named Prince Henry|
1926-11-11|08:00|Morocco|Grands Express Aeriens||Casablanca Dakar|Breguet Aviation||3|3|0|3|3|0|0|While en route and cruising along the shore the mail planes engine failed The crew made an emergency landing on a beach near Cape Bojador After the landing crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed|
1926-12-16|nan|other|Pacific Air Transport|||other|2.0|1|0|1|1|0|1|0|The postal plane crashed into a mountain slope in foggy conditions|
1927-01-12|nan|France|Fokker||Delivery flight|Fokker||0|0|2|0|0|2|0|The flight crew encountered poor weather conditions and made an emergency landing The aircraft landed in a field badly damaged and written off|
1927-03-20|nan|Morocco|Grands Express Aeriens||Casablanca  Oran|Breguet Aviation||1|0|1|1|0|1|0|Unknown|
1927-03-24|nan|Australia|Qantas||Charleville  Tambo  Blackall|De Havilland||3|2|1|3|2|1|0|While attempting to land the engine failed the aircraft stalled and crashed|
1927-04-15|nan|other|Varney Air Lines|||other||1|0|1|1|0|1|0|Crashed after an unsuccessful attempt at fly into strong headwinds The engine quit and the plane nosedived into the ground|
1927-04-22|nan|Germany|Deutsche Lufthansa||Charleville  Tambo  Blackall|Fokker||2|1|1|2|1|1|0|Crashed following engine failure|
1927-04-22|nan|India|US Aerial Mail Service|||McDonnell Douglas|626.0|1|0|1|1|0|1|0|Crashed into a field during a snow storm|
1927-05-02|nan|Algeria|Air Union|||other||3|0|3|1|0|1|0|The three engine seaplane stalled and crashed into the sea shortly after taking off|
1927-07-27|nan|Germany|Deutsche Lufthansa||Kassel  Frankfurt|Junkers||5|3|2|5|3|2|0|Crashed after experiencing engine failure and attempting to make a forced landing|
1927-08-22|08:30|England|KLM Royal Dutch Airlines||Croydon  Schiphol|Fokker||11|9|2|1|0|1|0|A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree killing the flight engineer|
1927-09-03|nan|other|Colonial Air Transport|||Fokker||1|0|1|1|0|1|0|The postal plane crashed for unknown reasons|
1927-09-17|nan|other|Reynolds Airways||Sightseeing|Fokker||12|11|1|7|6|1|0|The sightseeing plane took off and rose to 400 ft when the engine failed  The plane stalled and plunged to the ground in an apple orchard Engine failure The pilot was not familiar with the type of aircraft|
1927-09-17|04:05|other|Private||Old Orchad Beach  Rome|Fokker||3|1|2|3|1|2|0|While flying 1000 km east of the Canadian coast the crew sent a mayday message and the aircraft crashed into the ocean two minutes later The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight|
1927-09-23|10:00|Germany|Deutsche Lufthansa||Berlin  Munich|Dornier||6|4|2|6|4|2|0|From an altitude of 500 ft the plane went out of control and crashed  due to a broken wing strut|
1927-10-06|nan|Mauritania|Lignes Aeriennes Latecoere||Saint Louis  Dakar|Breguet Aviation||2|0|2|2|0|2|0|The plane crashed while attempting to land at Dakar|
1927-10-30|nan|other|Colonial Air Transport|||Fairchild Aircraft||4|3|1|4|3|1|0|Went into a tailspin and crashed into a corn field about 10 km from the airport|
1927-11-08|nan|France|CIDNA||Strasbourg  Paris|other||1|0|1|1|0|1|0|The mail plane crashed shortly after taking off|
1927-11-16|nan|Finland|Aero OY||Tallinn  Helsinki|Junkers||6|4|2|6|4|2|0|Crashed in the gulf of Finland and never found|
1927-11-29|nan|India|National Air Transport|||McDonnell Douglas||1|0|1|1|0|1|0|The postal plane crashed at night in poor weather|
1927-12-28|nan|Spain|Aeropostale||Dakar  Casablanca  Alicante  Perpignan  Toulouse|Breguet Aviation||1|0|1|1|0|1|0|A fire erupted aboard the mail plane while en route and crashed|
1927-12-31|nan|France|Latecoere Airlines||Test flight|other||5|0|5|5|0|5|0|Suffered structural failure at an altitude of 1000 ft|
1928-01-08|nan|other|Colonial Western Airlines||Minola  Albany  Buffalo|Fairchild Aircraft||3|1|2|3|1|2|0|Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo|
1928-01-16|nan|Uruguay|Aeropostale|F-AIKG|Buenos Aires  Montevideo|other||2|0|2|2|0|2|0|The wing on the mail plane detached from the aircraft and crashed into the sea|
1928-01-22|nan|other|Aeropostale||Toulouse  Perpignan  Alicante  Casablanca  Dakar|Breguet Aviation||1|0|1|1|0|1|0|Crashed after experiencing mechanical difficulties|
1928-01-22|nan|Spain|Aeropostale||Casablanca  Alicante  Perpignan  Toulouse|Breguet Aviation||2|0|2|2|0|2|0|Crashed in unknown circumstances|
1928-01-27|nan|Spain|Aeropostale||Casablanca  Alicante  Perpignan  Toulouse|Breguet Aviation||1|0|1|1|0|1|0|After experiencing turbulence the pilots seat belt broke and ejecting the pilot|
1928-02-26|nan|other|Boeing Air Transport|||Boeing||2|1|1|1|1|0|0|The air mail plane crashed into a grove of cottonwood trees and burned Businessman FH Craig was killed and pilot Frank Yegar injured The pilot descended in altitude due to air pocketsThe plane then ran into an air pocket that brought the plane down into the grove of trees|
1928-03-11|nan|France|Air Union||Paris  Croydon|other||2|0|2|2|0|2|0|Crashed into the sea while delivering mail in poor weather|
1928-04-17|nan|other|Boeing Air Transport|||Boeing||2|1|1|1|1|0|0|Spatial disorientation after entering a snowstorm|
1928-04-19|nan|Spain|Iberia Airlines||Barcelona  Madrid|other||9|7|2|9|7|2|0|Crashed into a field after getting lost in fog|
1928-05-07|nan|Brazil|Aeropostale|||other||5|3|2|1|1|0|0|An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted|
1928-05-12|nan|other|Ford Air Freight Inc||Dearborn  Buffalo|other||2|0|2|2|0|2|0|The cargo plane crashed on its inaugural flight The pilot tried to become airborne without sufficient speed|
1928-05-26|nan|Germany|Deutsche Lufthansa||Essen  Dortmund  Frankfurt|Junkers||5|4|1|3|2|1|0|After taking off and encountering fog the pilot decided to  to make a precautionary landing in a field but t hit a cow crashed and burned Pilot error|
1928-06-14|nan|Germany|Deutsche Lufthansa|||other||5|4|1|5|4|1|0|The Viper crashed for unknown reasons|
1928-06-22|nan|other|National Air Transport||Chicago  Dallas|McDonnell Douglas||1|0|1|1|0|1|0|The mail plane flew into tornado like winds and crashed in a field|
1928-07-10|nan|Finland|Aero OY||Tallinn  Helsinki|Junkers||6|4|2|6|4|2|0|Crashed under unknown circumstances|
1928-07-13|nan|England|Imperial Airways||Testing|Vickers||6|5|1|4|4|0|0|After the aircraft had climbed to 800 feet it disappeared from view of the airport in a southwest direction The aircraft crashed into a market garden near Leigh Cottage on Woodcote Road it was seen by residents flying low over the roof tops with the engine evidently in difficulties The aircraft crashed into a potato field the pilot in an open cockpit clambered clear and helped one of the passengers from the enclosed cabin free The aircraft burst into flames and it was not possible to rescue the other passengers|
1928-07-24|14:48|Netherlands|KLM Royal Dutch Airlines||Sightseeing over Rotterdam|Fokker||6|5|1|1|1|0|0|The plane became airborne in a stalled condition hit a shipsmast and crashed into the Waalhaven|
1928-08-25|11:00|Canada|British Columbia Airways||Victoria  Seattle|other||7|5|2|7|5|2|0|Crashed into Puget Sound in dense fog 12 miles off Port Townsend  Considered the first Canadian air disaster|
1928-09-02|nan|France|CIDNA||Toul  ClermontFerrand|other||5|2|3|5|2|3|0|After taking off the engine failed the plane stalled and crashed|
1928-09-04|nan|Australia|Qantas||Adelaide  Longreach|De Havilland||2|0|2|1|0|1|0|Following the conclusion of an aerial tour carrying Sir John Salmond the aircraft departed Adelaide piloted by C W A Scott with an engineer as passenger Control was lost in the cloud during an attempt to cross the Adelaide Hills the aircraft encounted bad weather crashed and caught fire|
1928-09-04|11:30|other|National Parks Airways||Great Falls  Pocatello  Salt Lake City|Fokker||7|6|1|7|6|1|0|While flying low and circling six times for a landing the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground rolling over several times|
1928-09-06|nan|Germany|Deutsche Lufthansa|||Fokker||3|2|1|3|2|1|0|Crashed due to engine failure|
1928-10-04|nan|Spain|Aeropostale||Casablanca  Alicante  Barcelona  Perpignan  Toulouse|Breguet Aviation||3|2|1|3|2|1|0|Encountered fog and crashed into a mountain slope near the monastery of Sant Pere de Rodes south of Llanc|
1928-10-18|nan|other|National Air Transport|||McDonnell Douglas||1|0|1|1|0|1|0|The mail plane crashed into a hill and burned during the night during poor weather conditons|
1928-10-31|nan|France|Air Union||Paris  Lyon  Marseille|other||2|1|1|1|0|1|0|The pilot attempted an emergency landing in a muddy field and crashed|
